level,Avg time spent (minutes),Median time spent (minutes),Cumulative avg time spent (minutes),%User having more than one attempt,avg attempts,median attempts
209,7.53076923076923,4.733333333333333,530.8085121766993,0.21428571428571427,1.7857142857142858,1
210,7.141025641025641,5.05,537.949537817725,0.2857142857142857,1.2857142857142858,1
211,3.548611111111111,0.75,541.498148928836,0,0.9230769230769231,1
212,3.3083333333333336,3.333333333333333,544.8064822621693,0.3076923076923077,1.3846153846153846,1
213,2.013888888888889,1.9333333333333333,546.8203711510582,0.07692307692307693,1.0769230769230769,1
214,3.0090909090909084,2.7,549.8294620601491,0.25,1.25,1
215,2.4041666666666663,2.1,552.2336287268158,0,1,1
216,4.259090909090909,4.816666666666666,556.4927196359067,0.5,2.1666666666666665,1
217,11.090909090909092,4.383333333333333,567.5836287268158,0.16666666666666666,1.25,1
218,0.8439393939393938,0.8166666666666667,568.4275681207553,0,1,1
219,2.477272727272727,2.1166666666666667,570.904840848028,0.16666666666666666,1.1666666666666667,1
220,1.4861111111111114,1.3333333333333333,572.3909519591391,0,0.9166666666666666,1
221,4.578787878787879,3.85,576.969739837927,0.16666666666666666,1.1666666666666667,1
222,1.9027777777777777,1.6833333333333333,578.8725176157049,0.07692307692307693,1.0769230769230769,1
223,11.509722222222221,4.316666666666666,590.382239837927,0.3333333333333333,2.9166666666666665,1
224,12.468181818181813,2.8333333333333335,602.8504216561089,0.09090909090909091,1.0909090909090908,1
225,0.9222222222222224,0.7666666666666667,603.7726438783311,0,1,1
226,24.41363636363636,2.3,628.1862802419674,0,1,1
227,0.7590909090909093,0.7333333333333333,628.9453711510583,0,1,1
228,5.6060606060606055,4.066666666666666,634.551431757119,0.45454545454545453,1.7272727272727273,1
229,3.643939393939394,2.933333333333333,638.1953711510583,0.36363636363636365,2,1
230,1.1787878787878787,1.2,639.3741590298462,0,1,1
231,4.928787878787879,4.25,644.302946908634,0.2727272727272727,1.3636363636363635,1
232,1.06,0.9,645.362946908634,0,1,1
233,2.005555555555555,1.8166666666666667,647.3685024641895,0,1,1
234,2.2685185185185186,2.033333333333333,649.637020982708,0.2222222222222222,1.2222222222222223,1
235,1.0444444444444445,0.9666666666666667,650.6814654271525,0,1,1
236,3.0888888888888895,3.1333333333333333,653.7703543160413,0,1,1
237,1.1962962962962962,1.1,654.9666506123376,0,1,1
238,3.0981481481481477,2.816666666666667,658.0647987604858,0.2222222222222222,1.4444444444444444,1
239,1.287037037037037,0.9833333333333333,659.3518357975229,0,1,1
240,0.7240740740740741,0.7166666666666667,660.075909871597,0,1,1
241,1.5074074074074073,1.6166666666666667,661.5833172790044,0,1,1
242,1.1203703703703705,1.1,662.7036876493747,0,1,1
243,5.1537037037037035,4.3,667.8573913530785,0.2222222222222222,1.3333333333333333,1
244,6.0018518518518515,3.4333333333333336,673.8592432049303,0.3333333333333333,1.3333333333333333,1
245,2.5814814814814815,1.7833333333333334,676.4407246864117,0,0.8888888888888888,1
246,1.9000000000000001,1.5166666666666666,678.3407246864117,0.1111111111111111,1.1111111111111112,1
247,2.1296296296296298,1.7,680.4703543160414,0,1,1
248,9.787037037037036,6.95,690.2573913530784,0.4444444444444444,1.5555555555555556,1
249,5.820370370370371,4.85,696.0777617234488,0,1,1
250,0.6729166666666666,0.65,696.7506783901155,0,1,1
251,11.610416666666667,7.55,708.3610950567821,0.375,2.5,1
252,6.483333333333334,4.816666666666666,714.8444283901155,0.3333333333333333,1.6666666666666667,1
253,0.9296296296296295,0.9166666666666666,715.7740580197451,0,1,1
254,3.32037037037037,2.3833333333333333,719.0944283901155,0.2222222222222222,1.3333333333333333,1
255,0.9722222222222222,1.0833333333333333,720.0666506123376,0,1,1
256,3.0148148148148146,2.783333333333333,723.0814654271525,0.1111111111111111,1.1111111111111112,1
257,2.8296296296296295,1.0833333333333333,725.9110950567821,0.2222222222222222,1.2222222222222223,1
258,3.6092592592592587,3.466666666666667,729.5203543160413,0.1111111111111111,1.1111111111111112,1
259,3.1888888888888887,2.3666666666666667,732.7092432049302,0,1,1
260,1.4814814814814816,1.5666666666666667,734.1907246864117,0,1,1
261,0.8796296296296297,0.8666666666666667,735.0703543160414,0,1,1
262,1.887037037037037,1.7666666666666666,736.9573913530785,0,1,1
263,3.2648148148148146,2.283333333333333,740.2222061678933,0,1,1
264,3.235185185185185,3.283333333333333,743.4573913530785,0.1111111111111111,1.1111111111111112,1
265,2.3479166666666664,2.216666666666667,745.8053080197452,0.125,1.125,1
266,0.9708333333333333,0.9833333333333333,746.7761413530785,0,1,1
267,1.9708333333333334,1.4666666666666666,748.7469746864118,0,1,1
268,2.5479166666666666,2.566666666666667,751.2948913530785,0,1,1
269,2.2354166666666666,2,753.5303080197451,0,1,1
270,1.2416666666666667,1.1333333333333333,754.7719746864118,0,1,1
271,3.675,3.7666666666666666,758.4469746864117,0.25,1.375,1
272,1.3708333333333331,1.2833333333333334,759.817808019745,0,1,1
273,5.94375,5.033333333333333,765.761558019745,0,1,1
274,3.533333333333333,2.216666666666667,769.2948913530784,0.125,1.125,1
275,2.023809523809524,1.6,771.3187008768879,0.14285714285714285,1.2857142857142858,1
276,9,6.866666666666666,780.3187008768879,0.14285714285714285,1.2857142857142858,1
277,1.161904761904762,1.1,781.4806056387927,0,1,1
278,5.321428571428571,4.933333333333334,786.8020342102212,0.2857142857142857,1.4285714285714286,1
279,4.480952380952381,3.683333333333333,791.2829865911737,0.2857142857142857,1.7142857142857142,1
280,4.878571428571429,3.35,796.161558019745,0.42857142857142855,1.5714285714285714,1
281,3.623809523809524,3.2333333333333334,799.7853675435546,0.2857142857142857,1.2857142857142858,1
282,4.20952380952381,1.7166666666666666,803.9948913530784,0,1,1
283,1.9547619047619047,1.9333333333333333,805.9496532578403,0,1,1
284,4.5,4.3,810.4496532578403,0.14285714285714285,1.2857142857142858,1
285,1.5095238095238097,1.3666666666666667,811.9591770673641,0,1,1
286,7.483333333333333,6.033333333333333,819.4425104006974,0.2857142857142857,1.4285714285714286,1
287,2.7809523809523813,2.283333333333333,822.2234627816498,0.14285714285714285,1.4285714285714286,1
288,2.7285714285714286,2.3666666666666667,824.9520342102212,0,1,1
289,6.957142857142857,5.466666666666667,831.9091770673641,0.2857142857142857,1.7142857142857142,1
290,0.911904761904762,0.8666666666666667,832.8210818292689,0,1,1
291,33.59285714285714,2.1666666666666665,866.4139389721261,0.2857142857142857,4,1
292,1.4452380952380952,1.5,867.8591770673642,0,1,1
293,6.359523809523808,4.283333333333333,874.218700876888,0.14285714285714285,1.4285714285714286,1
294,7.995238095238095,5.933333333333334,882.213938972126,0.2857142857142857,1.5714285714285714,1
295,2.9261904761904765,2.283333333333333,885.1401294483165,0.14285714285714285,1.1428571428571428,1
296,2.8380952380952382,2.533333333333333,887.9782246864117,0,1,1
297,1.561904761904762,1.4333333333333333,889.5401294483165,0,1,1
298,2.414285714285714,2.433333333333333,891.9544151626022,0.14285714285714285,1.1428571428571428,1
299,1.9285714285714286,1.95,893.8829865911737,0,1,1
300,2.3452380952380953,2.0166666666666666,896.2282246864117,0.14285714285714285,1.1428571428571428,1
301,9.192857142857145,10.166666666666666,905.4210818292689,0.42857142857142855,1.8571428571428572,1
302,0.95,0.95,906.371081829269,0,1,1
303,1.2238095238095237,1.2333333333333334,907.5948913530785,0,1,1
304,1.988095238095238,1.8833333333333333,909.5829865911737,0,1,1
305,1.307142857142857,1.3333333333333333,910.8901294483165,0,1,1
306,14.55952380952381,7.433333333333334,925.4496532578404,0.14285714285714285,1.4285714285714286,1
307,1.2952380952380953,1.3333333333333333,926.7448913530785,0,1,1
308,3.6000000000000005,3.6833333333333336,930.3448913530785,0.42857142857142855,1.4285714285714286,1
309,2.978571428571428,2.95,933.3234627816499,0,1,1
310,1.219047619047619,1.05,934.5425104006976,0,1,1
311,6.773809523809525,6.233333333333333,941.3163199245071,0.2857142857142857,1.4285714285714286,1
